3500 0.0 -0.5 5.82283900879	5.95205533544	6.29557340424	6.87652998308	7.66073100847	9.67233062047	12.0579934507	14.5787040271	17.1259837223	19.6907635278	22.267338412	24.8488704442	27.4463134999	
3500 0.0 -1.0 5.83021931735	5.95836368635	6.29996856712	6.87865827218	7.6529681788	9.58640273494	11.8259681161	14.2071066421	16.6672592303	19.1746306617	21.6832132355	24.1572058021	26.6031201304	
3500 0.0 -1.5 5.73656836416	5.87024963497	6.22702686351	6.82704956732	7.61935401224	9.53828503852	11.7083343119	14.0176054948	16.4318786312	18.9154497877	21.408704529	23.8632614061	26.284470317	
3500 0.0 -2.0 5.59446854955	5.73682812025	6.11777437212	6.7510042149	7.57856887622	9.52983669463	11.6894511532	13.9731034373	16.3676882402	18.8415131364	21.3355848935	23.8010871805	26.2372867799	
3500 0.0 -2.5 5.48458189588	5.63705590217	6.04774105825	6.71970077797	7.59201560636	9.59784196317	11.7804108556	14.0779870615	16.4983887716	18.9938540444	21.4958421564	23.9680251958	26.4216016339	
3500 0.0 0.0 5.8586327777	6.00337840912	6.38658553283	7.03210501876	7.90681155307	10.1898317175	12.9299590075	15.7653831819	18.5672979231	21.3942893363	24.3041994518	27.3417731492	30.5518989559	
3500 0.0 0.2 5.99131158098	6.14752755757	6.5620703283	7.26165863037	8.21657519681	10.7405368796	13.7666343211	16.8407489354	19.8651307627	22.9552330835	26.2054325975	29.6995057507	33.5207433565	
3500 0.0 0.5 6.5800257647	6.778152673	7.3094704802	8.22684111894	9.52562085666	13.1048545298	17.2120358815	21.1879292107	25.3251331361	30.0219061619	35.6933287328	42.5477803781	49.1508183605	
3500 0.5 -0.5 5.73482024725	5.86628826556	6.21508457163	6.80108189583	7.59071219522	9.62444070412	12.0593040335	14.6374111894	17.2360837552	19.8558954822	22.506715266	25.1900660916	27.9193846819	
3500 0.5 -1.0 5.8002921842	5.92896441848	6.27171606402	6.84945303904	7.6216291199	9.55469737692	11.8052072791	14.2018811789	16.6753296272	19.2007620269	21.7354603674	24.2428380836	26.7261447091	
