3500 0.0 -0.5 5.43844345148	5.57810552601	5.9469763583	6.56408602097	7.38766669307	9.47069184922	11.9086703204	14.4654870391	17.0359214749	19.6155576412	22.20319295	24.7928139852	27.3958032714	
3500 0.0 -1.0 5.4563436545	5.59349509707	5.95830680872	6.57343913131	7.39052125009	9.40156960421	11.6918868089	14.1048802663	16.5851954098	19.1070749632	21.6267229603	24.1089882239	26.5602090649	
3500 0.0 -1.5 5.35124662459	5.4944675892	5.87678525441	6.51841357597	7.36009328155	9.36382699276	11.5854613157	13.9243163771	16.3555736769	18.8529904459	21.3546754116	23.8195619004	26.2434563278	
3500 0.0 -2.0 5.18779904439	5.3410688005	5.7516330462	6.43354326164	7.31773400128	9.3600768114	11.5704337976	13.8823644679	16.2893155009	18.7822947556	21.2840421357	23.753278905	26.1979150615	
3500 0.0 -2.5 5.05026670195	5.21586890559	5.6619338884	6.38967399294	7.32587246592	9.42993823379	11.6625914257	13.9864954796	16.4223136537	18.9284881162	21.4421537754	23.9216306743	26.3750111132	
3500 0.0 0.0 5.42288221056	5.58139077101	5.99631350646	6.68264905526	7.59747324957	9.94984653885	12.747766412	15.62756895	18.456171574	21.2983467381	24.2179882181	27.2619100614	30.4754129891	
3500 0.0 0.2 5.51776821927	5.68870263017	6.13633462274	6.87706962194	7.87094383119	10.4625869501	13.5547800567	16.6803528544	19.7334593787	22.8388060202	26.0974760084	29.5952753905	33.417401183	
3500 0.0 0.5 5.98582066426	6.19847474785	6.75987498436	7.70838162363	9.03075636889	12.6732578351	16.89558416	20.939636601	25.1000275232	29.7951717257	35.4461400503	42.2975294157	48.9658618866	
3500 0.5 -0.5 5.34013816166	5.48363714518	5.8611238328	6.4861547914	7.31618740282	9.41956271449	11.9059571289	14.5210038532	17.142850803	19.7771759971	22.4383609297	25.1294361014	27.8636808772	
3500 0.5 -1.0 5.42121291963	5.55968952186	5.92737957487	6.54296551082	7.35831474235	9.36773788453	11.6675719477	14.0975304678	16.5919200045	19.1310343349	21.6768703158	24.1928247301	26.6812373448	
3500 0.5 -1.5 5.36068878825	5.50476655768	5.88870834565	6.52960407192	7.36739200044	9.36029211706	11.5755655702	13.9115823634	16.3410612346	18.8398313905	21.3536818195	23.8252388477	26.2615833308	
3500 0.5 -2.0 5.22414767393	5.37790761615	5.78879256991	6.46804784817	7.34580146735	9.37074668295	11.5670708956	13.8670586518	16.2694768441	18.7464065451	21.2444528468	23.7150644872	26.1596541154	
3500 0.5 -2.5 5.10094775012	5.26633658395	5.70956217247	6.4316416593	7.3580608042	9.44143322175	11.6590533384	13.9646344281	16.3852681055	18.8729401743	21.3696501514	23.8452350377	26.3005918531	
3500 0.5 0.0 5.35487430539	5.52339609608	5.96317906102	6.6849885323	7.64623723398	10.1405345956	13.1430972339	16.2158233611	19.2277527678	22.2958979574	25.5276435944	29.0139084821	32.8479041196	
3500 0.5 0.2 5.52631115019	5.7133279589	6.2018845475	7.00833126081	8.09735609229	10.9933104165	14.4843912183	17.9590827137	21.3889712932	25.0113397305	29.0263200721	33.6734330304	39.1558490291	
3500 0.5 0.5 6.35199701786	6.61042189604	7.30184540969	8.51420644048	10.3312773508	15.7826722242	21.49404615	27.632109148	38.6533531114	54.4867073396	59.3474600605	62.6271770164	65.2388912852	
3500 1.0 -0.5 5.27257502594	5.42141359995	5.81108747644	6.45049008602	7.29521619347	9.43550967367	11.9819049203	14.6599682384	17.3370369603	20.0323274712	22.7773363234	25.5848204454	28.472363333	
3500 1.0 -1.0 5.40531590406	5.54707465245	5.92231829102	6.54563329748	7.36775673586	9.39234897547	11.7188949009	14.1738151921	16.6908989292	19.2557980233	21.8369121949	24.3974199776	26.9378700998	
3500 1.0 -1.5 5.39141734381	5.5386057068	5.92968079197	6.57791120482	7.42106355283	9.42042010768	11.6449408079	13.9897255496	16.4296529199	18.9456009525	21.4736690594	23.9795452273	26.4297807347	
3500 1.0 -2.0 5.28218043005	5.43926313796	5.8576400717	6.5447448402	7.42773880532	9.45798598929	11.6644082657	13.9734867112	16.3850442984	18.8731281668	21.3869608198	23.8780002522	26.3437575879	
3500 1.0 -2.5 5.16880233281	5.33822769479	5.78927042942	6.51967434368	7.45238726602	9.54213673805	11.7724435912	14.0966346038	16.5221614302	19.016796604	21.5255488931	24.0196387573	26.5011004173	
3500 1.0 0.0 5.32901156005	5.50850158498	5.97527761131	6.73770399091	7.75366366444	10.4140810648	13.6393913546	16.9074136089	20.1189961192	23.4627341325	27.1070227461	31.2289484669	36.021797454	
3500 1.0 0.2 5.58867067627	5.79345466137	6.32810420898	7.21199747861	8.41886293664	11.7060439267	15.6610823771	19.5293950396	23.4822502457	27.9821034543	33.6261828787	41.417252694	49.8022556409	
3500 1.0 0.5 6.95821374137	7.29653111053	8.24409452365	10.1457226689	14.2371451498	26.6661172744	67.2169756884	68.4116707145	69.6463911838	70.9186014216	72.1969967579	73.4448699203	74.6437039432	
3500 1.5 -0.5 4.55807910346	4.74420799804	5.22468094804	5.9853966156	6.95429311674	9.33595962581	12.1393236688	15.0251568217	17.8302479397	20.62678507	23.5123805915	26.5485859407	29.773647097	
3500 1.5 -1.0 4.72765674912	4.90418334732	5.36635018852	6.1105467692	7.06049570981	9.31365256022	11.8406404832	14.4492078262	17.0643732074	19.6976076213	22.3514158811	25.0130248237	27.6870870264	
