1	7206.9804	578.8
1	7208.0063	600.8
2	7107.4778	372.2	
2	7124.5607	748.3
2	7125.8200	776.5
2	7147.0416	1255.5
2	7150.2844	1329.8
2	7158.8387	1527.3
2	7168.8952	1762.2
3	7018.5675	346.9
3	7030.2514	606.1
3	7067.2181	1451.2
3	7068.7358	1486.7
3	7084.1690	1852.2
4	6937.6642	451.7
4	6943.6105	585.5
4	6951.4776	764.2
4	6960.2500	965.4
4	6989.6553	1653.3
4	7000.8036	1925.6
5	6834.9246	21.8
5	6861.2688	615.6
5	6863.5350	667.5
5	6871.2891	846.7
5	6874.7530	927.1
5	6888.1742	1242.5
5	6889.3032	1269.0
5	6911.2264	1797.2
6	6752.8335	5.7
6	6766.6117	317.6
6	6778.3123	586.3
6	6834.9246	1945.2
7	6674.6969	35.7
7	6677.2817	94.7
7	6684.2929	255.3
7	6713.9700	950.3
7	6727.4583	1275.2
7	6752.8335	1902.8
8	6619.9458	569.1
8	6638.2207	1006.6
8	6639.7403	1043.4
8	6643.6976	1139.8
8	6644.6635	1163.3
9	6531.3418	272.2
9	6554.1603	817.5
9	6558.8756	932.2
9	6577.2146	1385.1
9	6583.9060	1553.3
9	6588.5396	1670.8
9	6591.4845	1745.9
9	6593.9391	1808.6
10	6457.2824	276.2
10	6483.0825	901.2
10	6490.7372	1090.7
10	6493.1975	1151.9
10	6512.3639	1637.1
11	6376.9305	89.4
11	6384.7169	276.0
11	6387.3957	340.7
11	6400.6961	665.2
11	6411.8991	942.5
11	6413.6145	985.3
11	6416.3071	1052.8
12	6307.6570	127.5
12	6327.2778	607.8
12	6342.8595	998.4
12	6348.7375	1147.6
12	6371.9436	1750.1
12	6376.9305	1882.2
13	6243.1201	244.9
13	6257.4237	599.7
13	6261.4181	700.1
13	6271.5444	957.0
13	6274.1166	1022.7
13	6296.8722	1615.7
13	6307.6570	1903.6
14	6169.8221	110.2
14	6173.0964	191.4
14	6178.4315	323.8
14	6180.7050	380.6
14	6188.1251	567.4
14	6191.9053	663.2
14	6198.2227	824.5
14	6203.4925	960.0
14	6207.2201	1056.5
14	6224.5272	1511.4
14	6226.3697	1560.3
14	6234.8554	1788.5
15	6112.8375	345.1
15	6114.9234	398.0
15	6138.6465	1008.7
